tc,title,url,content,
"Functions for filehandles, files, or directories",rmdir,https://perldoc.perl.org/5.32.0/functions/rmdir.html,#NAME?,
"Functions for filehandles, files, or directories",select,https://perldoc.perl.org/5.32.0/functions/select.html,#NAME?,
"Functions for filehandles, files, or directories",stat,https://perldoc.perl.org/5.32.0/functions/stat.html,--get-a-file's-status-information,
"Functions for filehandles, files, or directories",symlink,https://perldoc.perl.org/5.32.0/functions/symlink.html,#NAME?,
"Functions for filehandles, files, or directories",sysopen,https://perldoc.perl.org/5.32.0/functions/sysopen.html,"--open-a-file,-pipe,-or-descriptor",
"Functions for filehandles, files, or directories",umask,https://perldoc.perl.org/5.32.0/functions/umask.html,#NAME?,
"Functions for filehandles, files, or directories",unlink,https://perldoc.perl.org/5.32.0/functions/unlink.html,#NAME?,
"Functions for filehandles, files, or directories",utime,https://perldoc.perl.org/5.32.0/functions/utime.html,--set-a-file's-last-access-and-modify-times,
Keywords related to the control flow of your Perl program,__FILE__,https://perldoc.perl.org/5.32.0/functions/__FILE__.html,#NAME?,
Keywords related to the control flow of your Perl program,__LINE__,https://perldoc.perl.org/5.32.0/functions/__LINE__.html,#NAME?,
Keywords related to the control flow of your Perl program,__PACKAGE__,https://perldoc.perl.org/5.32.0/functions/__PACKAGE__.html,#NAME?,
Keywords related to the control flow of your Perl program,__SUB__,https://perldoc.perl.org/5.32.0/functions/__SUB__.html,"--the-current-subroutine,-or-C",
Keywords related to scoping,caller,https://perldoc.perl.org/5.32.0/functions/caller.html,#NAME?,
Keywords related to scoping,import,https://perldoc.perl.org/5.32.0/functions/import.html,--patch-a-module's-namespace-into-your-own,
Keywords related to scoping,local,https://perldoc.perl.org/5.32.0/functions/local.html,#NAME?,
Keywords related to scoping,my,https://perldoc.perl.org/5.32.0/functions/my.html,#NAME?,
Keywords related to scoping,our,https://perldoc.perl.org/5.32.0/functions/our.html,#NAME?,
Keywords related to scoping,package,https://perldoc.perl.org/5.32.0/functions/package.html,#NAME?,
Keywords related to scoping,state,https://perldoc.perl.org/5.32.0/functions/state.html,#NAME?,
Keywords related to scoping,use,https://perldoc.perl.org/5.32.0/functions/use.html,#NAME?,
Miscellaneous functions,defined,https://perldoc.perl.org/5.32.0/functions/defined.html,"--test-whether-a-value,-variable,-or-function-is-defined",
Miscellaneous functions,formline,https://perldoc.perl.org/5.32.0/functions/formline.html,#NAME?,
